wave,reason,name,slug,email,category,profile_url,sent_at,replied,claimed
0,corporate,Starbucks Lompoc,starbucks-lompoc,press@starbucks.com,Food & Drink,https://www.lompoclocals.com/biz/starbucks-lompoc,,,
0,corporate,Wells Fargo Lompoc,wells-fargo-lompoc,investorrelations@wellsfargo.com,Services,https://www.lompoclocals.com/biz/wells-fargo-lompoc,,,
0,corporate,West Valley Veterinary Clinic,west-valley-veterinary-clinic,support@evetsites.com,Other,https://www.lompoclocals.com/biz/west-valley-veterinary-clinic,,,
0,corporate,Wingstop,wingstop-lompoc,helpdesk@wingstop.com,Food & Drink,https://www.lompoclocals.com/biz/wingstop-lompoc,,,
1,,Accurate Heating & Air Conditioning,accurate-heating-air-conditioning,info@accurateheat-ac.com,Services,https://www.lompoclocals.com/biz/accurate-heating-air-conditioning,,,
1,,Adrian's Smog & Auto Repair,adrian-s-smog-auto-repair,adriansautomotiverepair@outlook.com,Auto,https://www.lompoclocals.com/biz/adrian-s-smog-auto-repair,,,
1,,Alfie's Fish & Chips,alfie-s-fish-chips,mrmike336@hotmail.com,Food & Drink,https://www.lompoclocals.com/biz/alfie-s-fish-chips,,,
1,,Altered Aesthetics Beauty Lounge,altered-aesthetics-beauty-lounge,alteredaestheticsbeautylounge@gmail.com,Health & Beauty,https://www.lompoclocals.com/biz/altered-aesthetics-beauty-lounge,,,
1,,"American Stages Realty & Management, INC",american-stages-realty-management-inc,leasing@americanstages.com,Real Estate,https://www.lompoclocals.com/biz/american-stages-realty-management-inc,,,
1,,Ampelos Cellars,ampelos-cellars,rebecca@ampeloscellars.com,Wineries,https://www.lompoclocals.com/biz/ampelos-cellars,,,
1,,Automotive Service Center of Lompoc,automotive-service-center-of-lompoc,service@lompocautomotive.com,Auto,https://www.lompoclocals.com/biz/automotive-service-center-of-lompoc,,,
1,,Awaken Cardio Kickboxing,awaken-cardio-kickboxing,awakencardiokickboxing@gmail.com,Health & Beauty,https://www.lompoclocals.com/biz/awaken-cardio-kickboxing,,,
1,,Babcock Winery & Vineyards,babcock-winery,info@babcockwinery.com,Wineries,https://www.lompoclocals.com/biz/babcock-winery,,,
1,,Big Jayke's,big-jayke-s,thatsbigjayke@gmail.com,Food & Drink,https://www.lompoclocals.com/biz/big-jayke-s,,,
1,,Blaze Pizza,blaze-pizza,manuel.s90@me.com,Food & Drink,https://www.lompoclocals.com/biz/blaze-pizza,,,
1,,Brewer-Clifton Winery,brewer-clifton-winery,info@brewerclifton.com,Wineries,https://www.lompoclocals.com/biz/brewer-clifton-winery,,,
1,,"Brian M. Carey, D.D.S.",brian-m-carey-d-d-s,contact@briancareydds.com,Other,https://www.lompoclocals.com/biz/brian-m-carey-d-d-s,,,
1,,Budget Inn-Lompoc,budget-inn-lompoc,budgetinnlompoc@gmail.com,Other,https://www.lompoclocals.com/biz/budget-inn-lompoc,,,
1,,Camins 2 Dreams,camins-2-dreams,info@camins2dreams.com,Wineries,https://www.lompoclocals.com/biz/camins-2-dreams,,,
1,,Certain Sparks Music,certain-sparks-music,info@certainsparks.com,Retail,https://www.lompoclocals.com/biz/certain-sparks-music,,,
1,,Chanin Wine Co.,chanin-wine-co,info@chaninwine.com,Wineries,https://www.lompoclocals.com/biz/chanin-wine-co,,,
1,,Civilization Wine Company,civilization-wine-company,CivWineCo@Gmail.com,Wineries,https://www.lompoclocals.com/biz/civilization-wine-company,,,
1,,Coldwell Banker Select Realty,coldwell-banker-select-realty,atkingallacher@coldwellbanker.com,Real Estate,https://www.lompoclocals.com/biz/coldwell-banker-select-realty,,,
1,,D'Alfonso-Curran Wines,dalfonso-curran-wines,thcrew@dcwines.com,Wineries,https://www.lompoclocals.com/biz/dalfonso-curran-wines,,,
1,,Dave's Place,dave-s-place,dave.jaskolski@villageinnca.com,Food & Drink,https://www.lompoclocals.com/biz/dave-s-place,,,
1,,Dierberg Vineyard & Tasting Room,dierberg-vineyard-tasting-room,reservations@dierbergvineyard.com,Wineries,https://www.lompoclocals.com/biz/dierberg-vineyard-tasting-room,,,
1,,Dong Hae Sushi,dong-hae-sushi,donghae600@yahoo.com,Food & Drink,https://www.lompoclocals.com/biz/dong-hae-sushi,,,
1,,Eddie's Grill,eddies-grill,j.carlosmeza1995@yahoo.com,Food & Drink,https://www.lompoclocals.com/biz/eddies-grill,,,
1,,Elements Massage Lompoc,elements-massage-lompoc,info@elementsmassage.com,Health & Beauty,https://www.lompoclocals.com/biz/elements-massage-lompoc,,,
1,,Elevate Lompoc,elevate-lompoc,elevate@elevatelompoc.com,Dispensaries,https://www.lompoclocals.com/biz/elevate-lompoc,,,
1,,Evening Land Vineyards,evening-land-vineyards,jerry@icewingcc.com,Wineries,https://www.lompoclocals.com/biz/evening-land-vineyards,,,
1,,Eye on I,eye-on-i,eyeoni2323@gmail.com,Food & Drink,https://www.lompoclocals.com/biz/eye-on-i,,,
1,,Fatte's pizza Of Lompoc,fatte-s-pizza-of-lompoc,german_2737@hotmail.com,Food & Drink,https://www.lompoclocals.com/biz/fatte-s-pizza-of-lompoc,,,
1,,Floriano's Mexican Food,florianos-mexican-food,florianos805@gmail.com,Food & Drink,https://www.lompoclocals.com/biz/florianos-mexican-food,,,
1,,Foley Estates Vineyard & Wine,foley-estates-vineyard-wine,tastingroom@foleywines.com,Wineries,https://www.lompoclocals.com/biz/foley-estates-vineyard-wine,,,
1,,Fortified Tattoo Co.,fortified-tattoo-co,fortifiedtattoo@gmail.com,Retail,https://www.lompoclocals.com/biz/fortified-tattoo-co,,,
1,,Glaze's Smokehouse and BBQ,glazes-smokehouse-bbq,glazebbq@gmail.com,Food & Drink,https://www.lompoclocals.com/biz/glazes-smokehouse-bbq,,,
1,,Hanger 7 Social House,hanger-7-social-house,hangar7lounge@gmail.com,Food & Drink,https://www.lompoclocals.com/biz/hanger-7-social-house,,,
1,,Heath Dental Group,heath-dental-group,info@heathdentalgroup.com,Services,https://www.lompoclocals.com/biz/heath-dental-group,,,
1,,Heritage Home & Plumbing Services formally (Ron's Plumbing Heating & A/C),heritage-home-plumbing-services-formally-ron-s-plumbing-heating-a-c,ricci@heritagehomeandplumbing.com,Services,https://www.lompoclocals.com/biz/heritage-home-plumbing-services-formally-ron-s-plumbing-heating-a-c,,,
1,,Hodges Automotive,hodges-automotive,hodges807@gmail.com,Auto,https://www.lompoclocals.com/biz/hodges-automotive,,,
1,,Hoptions Taproom & Eatery,hoptions-taproom,cilauro.andrew@gmail.com,Food & Drink,https://www.lompoclocals.com/biz/hoptions-taproom,,,
1,,In&Out Tires Lpc,in-out-tires-lpc,inandouttireslpc@gmail.com,Auto,https://www.lompoclocals.com/biz/in-out-tires-lpc,,,
1,,Inn at Highway 1,inn-at-highway-1,info@innathighway1.com,Other,https://www.lompoclocals.com/biz/inn-at-highway-1,,,
1,,Jeffrey’s Mobile Detailing,jeffrey-s-mobile-detailing,yung_ripp@yahoo.com,Auto,https://www.lompoclocals.com/biz/jeffrey-s-mobile-detailing,,,
1,,JoshFit Personal Fitness,joshfit-personal-fitness,joshfitca@gmail.com,Health & Beauty,https://www.lompoclocals.com/biz/joshfit-personal-fitness,,,
1,,Kaizen Collision Center,kaizen-collision-center,anaheim@kaizencollisioncenter.com,Auto,https://www.lompoclocals.com/biz/kaizen-collision-center,,,
1,,LAUNCHpad,launchpad-lompoc,lompoclaunchpad@gmail.com,Services,https://www.lompoclocals.com/biz/launchpad-lompoc,,,
1,,Leaf Dispensary,leaf-dispensary-lompoc,leafdispensary@outlook.com,Dispensaries,https://www.lompoclocals.com/biz/leaf-dispensary-lompoc,,,
1,,Lemos Feed & Pet Supply,lemos-feed-pet-supply,info@lemospet.com,Retail,https://www.lompoclocals.com/biz/lemos-feed-pet-supply,,,
1,,Little Girl's Pearls,little-girl-s-pearls,hello@littlegirlspearls.com,Retail,https://www.lompoclocals.com/biz/little-girl-s-pearls,,,
1,,Lompoc Dental & Associates,lompoc-dental-associates,lompocdental@gmail.com,Other,https://www.lompoclocals.com/biz/lompoc-dental-associates,,,
1,,Lompoc Donuts,lompoc-donuts,thelompocdonuts@gmail.com,Retail,https://www.lompoclocals.com/biz/lompoc-donuts,,,
1,,Lompoc Mini Storage & Associates,lompoc-mini-storage-associates,lompoc.storage@gmail.com,Other,https://www.lompoclocals.com/biz/lompoc-mini-storage-associates,,,
1,,Lompoc Oral and Maxillofacial Surgery,lompoc-oral-and-maxillofacial-surgery,info@lompocoms.com,Health & Beauty,https://www.lompoclocals.com/biz/lompoc-oral-and-maxillofacial-surgery,,,
1,,Lompoc Smogs,lompoc-smogs,lompocsmogs@gmail.com,Other,https://www.lompoclocals.com/biz/lompoc-smogs,,,
1,,Lompoc Theatre,lompoc-theatre,info@lompoctheatre.org,Entertainment,https://www.lompoclocals.com/biz/lompoc-theatre,,,
1,,Lompoc Valley Florist,lompoc-valley-florist,lompocflorist322@gmail.com,Retail,https://www.lompoclocals.com/biz/lompoc-valley-florist,,,
1,,Lompoc Valley Medical Center,lompoc-valley-medical-center,info@lvmc.org,Services,https://www.lompoclocals.com/biz/lompoc-valley-medical-center,,,
1,,Lompoc Veterinary Clinic,lompoc-veterinary-clinic,info@lompocvetclinic.com,Services,https://www.lompoclocals.com/biz/lompoc-veterinary-clinic,,,
1,,Lompoc Wine Factory,lompoc-wine-factory,info@lompocwinefactory.com,Wineries,https://www.lompoclocals.com/biz/lompoc-wine-factory,,,
1,,Longevity Plumbing Services,longevity-plumbing-services,javet@longevityplumbingservices.com,Services,https://www.lompoclocals.com/biz/longevity-plumbing-services,,,
1,,Loring Wine Company,loring-wine-company,kimberly@loringwinecompany.com,Wineries,https://www.lompoclocals.com/biz/loring-wine-company,,,
1,,Lovely Ink Tattoos and Piercings By Syriah,lovely-ink-tattoos-and-piercings-by-syriah,armerosyriah@gmail.com,Retail,https://www.lompoclocals.com/biz/lovely-ink-tattoos-and-piercings-by-syriah,,,
1,,Mama’s Caffè,mama-s-caff,mamascaffe805@gmail.com,Food & Drink,https://www.lompoclocals.com/biz/mama-s-caff,,,
1,,Mike's Trains and Hobbies,mikes-trains-hobbies,marplemike946@yahoo.com,Retail,https://www.lompoclocals.com/biz/mikes-trains-hobbies,,,
1,,Montemar Wines,montemar-wines,team@montemarwinery.com,Wineries,https://www.lompoclocals.com/biz/montemar-wines,,,
1,,Northside Lompoc,northside-lompoc,drharriett@yahoo.com,Retail,https://www.lompoclocals.com/biz/northside-lompoc,,,
1,,O'Cairns Bistro,o-cairns-bistro,manager.ocairns@gmail.com,Food & Drink,https://www.lompoclocals.com/biz/o-cairns-bistro,,,
1,,Old Town Kitchen & Bar,old-town-kitchen-bar,vegas_1107@yahoo.com,Food & Drink,https://www.lompoclocals.com/biz/old-town-kitchen-bar,,,
1,,One Plant Lompoc,one-plant-lompoc,info@oneplant.life,Dispensaries,https://www.lompoclocals.com/biz/one-plant-lompoc,,,
1,,OZ Exotics & Aquatics,oz-exotics-aquatics,ozexoticsandaquatics@gmail.com,Retail,https://www.lompoclocals.com/biz/oz-exotics-aquatics,,,
1,,Pathway Dental Group Lompoc,pathway-dental-group-lompoc,office@pathwaydentalgroup.com,Services,https://www.lompoclocals.com/biz/pathway-dental-group-lompoc,,,
1,,PCH STREET,pch-street,social@pchstreet.com,Food & Drink,https://www.lompoclocals.com/biz/pch-street,,,
1,,Piedrasassi Wine and Bread,piedrasassi,info@piedrasassi.com,Wineries,https://www.lompoclocals.com/biz/piedrasassi,,,
1,,Pier Fitness Health Club,pier-fitness-health-club,info@pierfitness.com,Health & Beauty,https://www.lompoclocals.com/biz/pier-fitness-health-club,,,
1,,RDL Clothing,rdl-clothing,Rdlts567@gmail.com,Retail,https://www.lompoclocals.com/biz/rdl-clothing,,,
1,,Royal Healing Emporium,royal-healing-emporium,royalhemporium@gmail.com,Retail,https://www.lompoclocals.com/biz/royal-healing-emporium,,,
1,,Salon Blush,salon-blush,salon_blush@hotmail.com,Health & Beauty,https://www.lompoclocals.com/biz/salon-blush,,,
1,,Sandhi,sandhi,wine@sandhiwines.com,Wineries,https://www.lompoclocals.com/biz/sandhi,,,
1,,Spear Vineyards and Winery,spear-vineyards-and-winery,visit@spearwinery.com,Wineries,https://www.lompoclocals.com/biz/spear-vineyards-and-winery,,,
1,,Surf Connection,surf-connection,info@surfconnection.net,Retail,https://www.lompoclocals.com/biz/surf-connection,,,
1,,Sweet Baking Co.,sweet-baking-co,sweetbakingco@gmail.com,Food & Drink,https://www.lompoclocals.com/biz/sweet-baking-co,,,
1,,Tacos y Mariscos El Culichi,tacos-y-mariscos-el-culichi,tacosculichi01@yahoo.com,Food & Drink,https://www.lompoclocals.com/biz/tacos-y-mariscos-el-culichi,,,
1,,Tacos y Mariscos La Michoacana,tacos-y-mariscos-la-michoacana,lamichoacanafamily@gmail.com,Food & Drink,https://www.lompoclocals.com/biz/tacos-y-mariscos-la-michoacana,,,
1,,Taqueria Don Tacho,taqueria-don-tacho,taqueria.don.tacho@gmail.com,Food & Drink,https://www.lompoclocals.com/biz/taqueria-don-tacho,,,
1,,TEAklish Boba & Cafe,teaklish-boba-cafe,teaklish.info@gmail.com,Retail,https://www.lompoclocals.com/biz/teaklish-boba-cafe,,,
1,,Temperance Cellars,temperance-cellars,justin@temperancecellars.com,Wineries,https://www.lompoclocals.com/biz/temperance-cellars,,,
1,,Terre et Sang Winery,terre-et-sang-winery,concierge@terreetsang.com,Wineries,https://www.lompoclocals.com/biz/terre-et-sang-winery,,,
1,,The Beauty Room,the-beauty-room,thebeautyroom601@gmail.com,Health & Beauty,https://www.lompoclocals.com/biz/the-beauty-room,,,
1,,The Garden Shoppe,the-garden-shoppe,info@thegardenshoppe.com,Retail,https://www.lompoclocals.com/biz/the-garden-shoppe,,,
1,,The Hilt Estate,the-hilt-estate,info@thehiltestate.com,Wineries,https://www.lompoclocals.com/biz/the-hilt-estate,,,
1,,The Shack,the-shack,theshack11@verizon.net,Retail,https://www.lompoclocals.com/biz/the-shack,,,
1,,The Silly Bee LLC,the-silly-bee-llc,info@thesillybee.net,Retail,https://www.lompoclocals.com/biz/the-silly-bee-llc,,,
1,,Toro Loco,toro-loco,torolocolompoc@gmail.com,Food & Drink,https://www.lompoclocals.com/biz/toro-loco,,,
1,,Transcendence Winery,transcendence-winery,info@transcendwines.com,Wineries,https://www.lompoclocals.com/biz/transcendence-winery,,,
1,,Twin Oaks Real Estate Management,twin-oaks-real-estate-management,emily@twinoaksmanagement.com,Other,https://www.lompoclocals.com/biz/twin-oaks-real-estate-management,,,
1,,Tyler Winery,tyler-winery,gabe@tylerwinery.com,Wineries,https://www.lompoclocals.com/biz/tyler-winery,,,
1,,Valle Eatery & Bar,valle-eatery-bar,valle@hiltongardeninnlompoc.com,Food & Drink,https://www.lompoclocals.com/biz/valle-eatery-bar,,,
1,,Vargas Jewelers Trophies & Awards,vargas-jewelers-trophies-awards,vargasjewelers@gmail.com,Retail,https://www.lompoclocals.com/biz/vargas-jewelers-trophies-awards,,,
1,,Village Inn,village-inn,info@villageinnca.com,Other,https://www.lompoclocals.com/biz/village-inn,,,
1,,Village Veterinary Clinic,village-veterinary-clinic,villagevet@villagevet.us,Services,https://www.lompoclocals.com/biz/village-veterinary-clinic,,,
1,,Watt Electric,watt-electric,office@watt-electric.com,Services,https://www.lompoclocals.com/biz/watt-electric,,,
1,,West Coast Industries,west-coast-industries,805wci@gmail.com,Services,https://www.lompoclocals.com/biz/west-coast-industries,,,
1,,Wicked Shamrock,wicked-shamrock,thewickedshamrock805@gmail.com,Food & Drink,https://www.lompoclocals.com/biz/wicked-shamrock,,,
1,,Wild West Pizza & Grill,wild-west-pizza-grill,david@wildwestpizzaoflompoc.com,Food & Drink,https://www.lompoclocals.com/biz/wild-west-pizza-grill,,,
1,,Wm Rieck Plumbing Co,wm-rieck-plumbing-co,wmrieckplumbing@aol.com,Services,https://www.lompoclocals.com/biz/wm-rieck-plumbing-co,,,
1,,Zotovich Vineyards Tasting Room,zotovich-vineyards-tasting-room,info@zotovichvineyards.com,Wineries,https://www.lompoclocals.com/biz/zotovich-vineyards-tasting-room,,,
2,community-org,Achievement House,achievement-house,info@achievementhouse.org,Retail,https://www.lompoclocals.com/biz/achievement-house,,,
2,community-org,Bodger Trail,bodger-trail,lompoctrailscommittee@gmail.com,Other,https://www.lompoclocals.com/biz/bodger-trail,,,
2,community-org,Church of Christ,church-of-christ,mail@lompoccc.org,Services,https://www.lompoclocals.com/biz/church-of-christ,,,
2,community-org,Crossroads Community Church - COGOP,crossroads-community-church-cogop,info@crossroadslompoc.com,Services,https://www.lompoclocals.com/biz/crossroads-community-church-cogop,,,
2,community-org,Events Mission Valley,events-mission-valley,impallari@gmail.com,Other,https://www.lompoclocals.com/biz/events-mission-valley,,,
2,community-org,First Christian Church,first-christian-church,pastorfcclompoc@gmail.com,Services,https://www.lompoclocals.com/biz/first-christian-church,,,
2,community-org,Goodwill Retail Store & Donation Center,goodwill-retail-store-donation-center,info@goodwillvsb.org,Retail,https://www.lompoclocals.com/biz/goodwill-retail-store-donation-center,,,
2,community-org,Hope Chapel Mission Hills,hope-chapel-mission-hills,info@hopeforlompoc.org,Services,https://www.lompoclocals.com/biz/hope-chapel-mission-hills,,,
2,community-org,Kids' Space Children's Museum,kids-space-museum-lompoc,hello@kidspacemuseum.org,Other,https://www.lompoclocals.com/biz/kids-space-museum-lompoc,,,
2,community-org,Lompoc Foursquare Church,lompoc-foursquare-church,info@lompocfoursquare.com,Services,https://www.lompoclocals.com/biz/lompoc-foursquare-church,,,
2,community-org,Lompoc Museum,lompoc-museum,lompocmuseum@gmail.com,Other,https://www.lompoclocals.com/biz/lompoc-museum,,,
2,community-org,Lompoc Recreation Department,lompoc-recreation-department,recreation@ci.lompoc.ca.us,Entertainment,https://www.lompoclocals.com/biz/lompoc-recreation-department,,,
2,community-org,Lompoc Valley Baptist Church,lompoc-valley-baptist-church,info@lompocvalleybaptist.net,Services,https://www.lompoclocals.com/biz/lompoc-valley-baptist-church,,,
2,community-org,Mission Auto Care,mission-auto-care,service@lompocautomotive.com,Auto,https://www.lompoclocals.com/biz/mission-auto-care,,,
2,community-org,Mission La Purísima,mission-la-purisima,lapurisimamission@gmail.com,Other,https://www.lompoclocals.com/biz/mission-la-purisima,,,
2,community-org,P & L Transmissions And Auto Repair,p-l-transmissions-and-auto-repair,pnlautorepair@gmail.com,Auto,https://www.lompoclocals.com/biz/p-l-transmissions-and-auto-repair,,,
2,community-org,Place of Grace Church,place-of-grace-church,placegracechurch@gmail.com,Services,https://www.lompoclocals.com/biz/place-of-grace-church,,,
2,community-org,St Mary's Episcopal Church,st-mary-s-episcopal-church,churchoffice@stmaryslompoc.org,Services,https://www.lompoclocals.com/biz/st-mary-s-episcopal-church,,,
2,community-org,Trinity Church of the Nazarene,trinity-church-of-the-nazarene,info@trinaz.com,Services,https://www.lompoclocals.com/biz/trinity-church-of-the-nazarene,,,
2,community-org,VTC Enterprises,vtc-enterprises,vtcinfo@vtc-sm.org,Retail,https://www.lompoclocals.com/biz/vtc-enterprises,,,
3,duplicate-email,Kaizen Collision Center - Lompoc,kaizen-collision-center-lompoc,anaheim@kaizencollisioncenter.com,Auto,https://www.lompoclocals.com/biz/kaizen-collision-center-lompoc,,,
3,duplicate-email,Lompoc Brewing Company,lompoc-brewing-company,cilauro.andrew@gmail.com,Food & Drink,https://www.lompoclocals.com/biz/lompoc-brewing-company,,,
3,duplicate-email,Lompoc Dental Group,lompoc-dental-group,lompocdental@gmail.com,Health & Beauty,https://www.lompoclocals.com/biz/lompoc-dental-group,,,
3,duplicate-email,Lompoc Valley Feed & Pet,lompoc-valley-feed-pet,info@lemospet.com,Retail,https://www.lompoclocals.com/biz/lompoc-valley-feed-pet,,,
3,duplicate-email,O'Cairns Inn & Suites,o-cairns-inn-suites,manager.ocairns@gmail.com,Other,https://www.lompoclocals.com/biz/o-cairns-inn-suites,,,
